Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Cardiovascular Disease Pctl,Poverty
5142,Riverside ,92545,-116.9996659,33.7332579,93.63,45.96,10.88,0.0,41.25,64.02,80.22,44.7
2007,Los Angeles,90065,-118.2241897,34.1200291,67.9,70.8,62.02,0.0,79.14,37.45,8.49,30.1
4710,Los Angeles,91766,-117.7839389,34.0389204,71.66,90.37,53.68,0.0,86.36,47.0,36.42,16.2
2604,Santa Barbara,93101,-119.7150663,34.4261948,20.85,15.11,65.81,0.0,65.45,59.88,42.49,37.3
4319,Stanislaus ,95380,-120.8252426,37.4998207,74.1,92.55,17.81,73.69,3.21,84.01,97.26,17.1
6141,Solano ,95687,-121.9790495,38.3420876,32.15,11.85,57.4,0.0,74.19,83.44,68.1,35.8
7214,San Diego,92081,-117.2637886,33.186867,35.16,35.43,61.12,65.79,53.13,24.58,31.99,27.0
3245,Los Angeles,90066,-118.4246723,34.0128357,44.98,64.46,88.01,0.0,95.41,21.25,26.41,16.7
2550,Los Angeles,90048,-118.3800927,34.0729596,56.96,66.38,62.1,0.0,72.74,19.34,51.46,14.1
6925,San Diego,92061,-117.0114926,33.3358648,67.04,7.22,19.18,76.0,12.48,37.9,31.75,31.4
5964,Santa Clara,95050,-121.9331084,37.3470382,20.85,28.54,88.89,15.52,76.18,26.76,29.24,26.8
3141,Orange ,92845,-118.0198654,33.7847215,35.16,63.96,35.97,0.0,46.0,16.03,28.98,12.2
6632,Riverside ,92551,-117.2114532,33.878436,98.67,58.28,36.75,0.0,48.2,70.4,74.84,27.4
3476,Fresno ,93710,-119.7450732,36.8339103,84.58,96.42,36.88,70.55,62.95,71.97,31.09,28.3
3062,Alameda ,94710,-122.3256618,37.8886213,3.12,39.81,98.13,0.0,90.01,19.45,1.81,44.0
3697,Los Angeles,90505,-118.3550066,33.8218914,24.88,72.57,51.36,0.0,76.11,14.47,27.24,15.2
3703,Los Angeles,91765,-117.8357129,33.990991,64.73,87.55,79.44,0.0,98.09,18.17,27.24,19.5
7692,San Diego,92056,-117.2762264,33.2179749,37.57,34.5,25.24,40.38,37.33,30.81,54.22,29.7
2429,Sacramento ,95608,-121.3188938,38.6652577,63.29,31.0,21.43,0.0,46.59,85.56,56.88,26.7
3929,Sacramento ,95831,-121.5088949,38.5121908,37.57,33.15,40.35,0.0,14.68,78.63,55.72,30.8
9315,Monterey ,93906,-121.6348578,36.7107945,11.56,2.02,19.27,89.52,28.6,82.84,66.15,28.4
4562,Shasta ,96007,-122.3051577,40.4613796,46.99,97.14,73.7,55.97,35.34,57.18,85.29,33.7
5237,Tulare ,93265,-118.4920872,36.1727771,84.65,4.34,0.67,46.66,0.24,25.35,53.03,41.4
7801,Riverside ,92504,-117.4115769,33.9653835,95.27,93.22,54.88,0.0,11.16,43.78,34.76,30.4
2505,San Diego,92102,-117.1381735,32.717632,29.89,50.6,95.79,0.0,4.91,84.86,44.3,44.1
3455,Santa Clara,95121,-121.8099466,37.3010538,24.88,23.17,81.07,0.0,92.55,51.32,47.88,21.4
2813,Los Angeles,90048,-118.3730515,34.0713896,56.96,65.89,57.14,0.0,74.49,20.97,55.77,16.1
4283,Los Angeles,91042,-118.2929869,34.2594737,93.63,57.9,16.78,0.0,25.99,26.53,75.46,32.5
6479,Monterey ,93908,-121.5676557,36.6852793,13.71,1.33,14.41,97.45,38.78,29.3,9.45,28.1
