Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Poverty Pctl,Cardiovascular Disease Pctl
4047,San Francisco,94122,-122.4812305,37.7530955,7.58,20.16,92.94,0.0,79.62,5.91,22.33,5.93
2407,El Dorado,95667,-120.7055174,38.6909824,82.1,8.77,3.52,39.13,3.61,50.65,31.6,52.57
6061,San Diego,92026,-117.1308356,33.1749098,60.88,42.86,31.11,57.31,74.82,9.8,45.37,17.13
2561,Yolo ,95695,-121.7934889,38.659519,53.02,10.74,12.31,78.46,17.06,64.44,1.53,60.38
3449,San Bernardino,91784,-117.6779015,34.1406476,91.1,83.99,33.09,0.0,84.32,29.0,17.26,54.22
6343,Contra Costa,94531,-121.7753475,37.978244,31.84,17.81,28.41,0.0,31.6,95.36,28.11,85.76
5234,Sonoma ,95401,-122.7983695,38.472322,7.58,7.76,30.03,77.08,25.04,39.67,24.86,25.0
3282,Shasta ,96019,-122.3698759,40.6925227,31.84,3.92,7.45,0.0,12.96,75.25,68.81,95.91
2576,Contra Costa,94530,-122.3022455,37.9089588,7.58,30.7,49.43,0.0,12.91,42.66,35.01,20.35
4453,Santa Clara,95008,-121.9687764,37.2902052,22.34,52.61,82.95,0.0,46.23,13.71,28.11,17.06
5764,Santa Barbara,93463,-120.1378745,34.6243989,22.34,1.86,4.02,60.77,21.24,18.09,31.14,17.24
3969,Riverside ,92260,-116.3757329,33.7163278,98.18,11.8,11.79,0.0,24.64,17.12,49.45,13.1
1175,Alpine ,96120,-119.7989986,38.6176096,77.87,0.07,0.36,0.0,0.44,6.26,59.07,30.46
4629,Santa Barbara,93103,-119.6891123,34.4372104,25.87,2.32,11.45,0.0,7.17,43.16,26.0,2.17
4531,San Mateo,94062,-122.2412328,37.4844567,11.08,40.92,54.08,24.17,27.4,19.97,16.39,8.49
3652,Orange ,92691,-117.6420514,33.6575536,64.8,30.7,12.53,23.23,21.73,5.2,17.01,9.43
7832,San Francisco,94118,-122.4480069,37.7789154,7.58,30.7,98.52,0.0,41.73,12.67,26.65,2.52
3066,Santa Clara,95051,-121.9984125,37.3562527,16.94,52.61,72.62,0.0,60.56,5.67,27.89,10.6
6114,Los Angeles,90808,-118.1316155,33.8262896,31.84,66.23,46.88,0.0,36.3,26.23,8.42,51.56
5775,Orange ,92663,-117.9402584,33.6201747,40.49,52.61,13.15,0.0,54.56,20.85,20.15,6.36
5171,San Francisco,94110,-122.4235588,37.759168,7.58,30.7,98.03,0.0,18.97,66.39,24.86,36.19
6023,Santa Clara,94087,-122.0416426,37.3646098,16.94,52.61,68.91,0.0,44.1,4.43,13.94,18.75
3599,San Francisco,94115,-122.440799,37.789849,7.58,30.7,98.52,0.0,53.65,73.63,13.76,31.24
3412,Siskiyou ,96031,-123.0110405,41.327554,31.84,0.37,0.81,30.75,0.15,26.73,76.15,26.29
2939,San Diego,92116,-117.1196457,32.7696657,31.84,52.61,81.73,0.0,98.63,40.11,18.44,24.35
3490,Sonoma ,95446,-123.0055208,38.4759155,11.08,10.8,2.78,53.77,7.03,28.18,60.3,1.91
5012,Placer ,95677,-121.2189633,38.78155,73.93,17.81,24.95,14.16,77.7,48.71,11.23,38.65
5053,San Diego,91941,-116.9758103,32.7537922,40.49,66.23,25.33,0.0,44.29,49.15,40.94,13.9
3679,San Diego,92110,-117.1956419,32.7878017,31.84,52.61,45.6,0.0,84.52,23.14,35.44,17.83
3730,Orange ,92646,-117.9754563,33.664956,40.49,54.48,26.04,0.0,32.79,23.86,15.06,20.51
3954,Santa Clara,95008,-121.9793326,37.2706408,22.34,52.61,65.65,30.92,73.98,15.48,1.37,22.68
5339,San Luis Obispo,93442,-120.8585435,35.3950312,16.94,,5.08,74.2,12.75,24.64,47.53,26.83
3219,Santa Clara,95014,-122.0405535,37.3124131,16.94,52.61,24.38,0.0,69.51,0.95,3.05,14.1
